"SampleID","Site","Kfs..mm.per.hr...DL","Sorptivity..mm.per.sqrt.hr....DL","Year"
"BF 5-3","BF5",19,40.8,"2013"
"BF 5-6","BF5",123,9.1,"2013"
"BF 5-7","BF5",147,8.3,"2013"
"BF 3-5","BF3",22,0.5,"2013"
"BF 3-6","BF3",120,2.2,"2013"
"BF 3-7","BF3",104,24,"2013"
"BF 3-10","BF3",69,8.3,"2013"
"BF 1-2","BF1",6.6,1.4,"2013"
"BF 1-3","BF1",24,1.3,"2013"
"BF 1-4","BF1",46,1.3,"2013"
"BF 1-5","BF1",33,3.4,"2013"
"BF 1-6","BF1",20,2.9,"2013"
"BF 1-7","BF1",39,1,"2013"
"BF 1-8","BF1",50,0.7,"2013"
"BF 1-9","BF1",3.4,0.3,"2013"
"BF 5-3A","BF5",28.7,23,"2015"
"BF 5-4","BF5",322.1,22.4,"2015"
"BF 5-6","BF5",322.1,18.8,"2015"
"BF 5-7A","BF5",209.8,2.9,"2015"
"BF 5-10","BF5",232.2,2,"2015"
"BF 3-1A","BF3",120.3,13.3,"2015"
"BF 3-1B","BF3",103.8,4,"2015"
"BF 3-2","BF3",133.5,3,"2015"
"BF 3-3A","BF3",71.4,23.3,"2015"
"BF 3-3B","BF3",95.7,32.7,"2015"
"BF 3-4","BF3",178.6,6.1,"2015"
"BF 3-5A","BF3",2,19.7,"2015"
"BF 3-5B","BF3",7.1,15.5,"2015"
"BF 3-6","BF3",210.2,40.4,"2015"
"BF 3-7A","BF3",204.4,8,"2015"
"BF 3-7B","BF3",241.1,22.3,"2015"
"BF 3-8","BF3",115.7,19.4,"2015"
"BF 3-9A","BF3",230.3,17.5,"2015"
"BF 3-9B","BF3",79.1,71.4,"2015"
"BF 3-10","BF3",327.9,17.8,"2015"
"BF 1-1A","BF1",247.6,4.5,"2015"
"BF 1-1B","BF1",131.5,10,"2015"
"BF 1-2","BF1",99.1,25.9,"2015"
"BF 1-3A","BF1",7.3,13.4,"2015"
"BF 1-3B","BF1",14.5,9.4,"2015"
"BF 1-4","BF1",157,4.4,"2015"
"BF 1-5A","BF1",33.2,43.1,"2015"
"BF 1-5B","BF1",81.4,9.8,"2015"
"BF 1-6","BF1",0.3,1.3,"2015"
"BF 1-7A","BF1",50.5,29.6,"2015"
"BF 1-7B","BF1",117.3,4.3,"2015"
"BF 1-8","BF1",87.9,50.6,"2015"
"BF 1-9B","BF1",72.9,2.8,"2015"
"BF 1-10","BF1",85.2,63.6,"2015"
"BF 5-2","BF5",232.6,23.3,"2017"
"BF 5-3A","BF5",389.6,17.3,"2017"
"BF 5-4","BF5",682.7,34,"2017"
"BF 5-6","BF5",83.3,8.5,"2017"
"BF 5-10","BF5",27.3,2.4,"2017"
"BF 3-2","BF3",103.8,82.2,"2017"
"BF 3-3A","BF3",180.9,38,"2017"
"BF 3-7A","BF3",180.5,1.9,"2017"
"BF 3-8","BF3",164.7,14.6,"2017"
"BF 1-1A","BF1",43.2,12.7,"2017"
"BF 1-3A","BF1",177.4,22.3,"2017"
"BF 1-4","BF1",77.9,4.4,"2017"
"BF 1-5A","BF1",87.2,11.9,"2017"
"BF 1-6","BF1",155.1,3.1,"2017"
