SampleID,Site,"Kfs (mm per hr), CL","Sorptivity (mm per sqrt(hr)), CL","Kfs (mm per hr), DL","Sorptivity (mm per sqrt(hr)), DL",Average Kfs (mm per hr),Average Sorptivity (mm per sqrt(hr)),
BF 6-2,BF6,62.3,3.5,48.2,1.8,55.2,2.6,
BF 6-4,BF6,30.3,5.7,39.3,0.6,34.8,3.2,
BF 6-5A,BF6,246.2,12.9,,,246.2,12.9,
BF 6-6,BF6,68.1,6.3,49.4,2.1,58.8,4.2,
BF 6-7A,BF6,296.7,1.5,,,296.7,1.5,
BF 6-8,BF6,749.2,23.4,1593.0,60.6,1171.1,42.0,
BF 6-9A,BF6,97.6,22.4,,,97.6,22.4,
BF 6-10,BF6,248.7,1.6,,,248.7,1.6,
BF 5-2,BF5,315.0,8.3,232.6,23.3,273.8,15.8,
BF 5-3A,BF5,143.5,46.0,389.6,17.3,266.5,31.6,
BF 5-4,BF5,552.3,57.6,682.7,34.0,617.5,45.8,
BF 5-5A,BF5,158.7,6.8,,,158.7,6.8,
BF 5-6,BF5,37.6,24.3,83.3,8.5,60.4,16.4,
BF 5-7A,BF5,95.3,19.7,,,95.3,19.7,
BF 5-9A,BF5,165.6,8.4,,,165.6,8.4,
BF 5-10,BF5,63.7,2.2,27.3,2.4,45.5,2.3,
BF 3-2,BF3,332.5,59.9,103.8,82.2,218.1,71.1,
BF 3-3A,BF3,113.2,45.4,180.9,38.0,147.1,41.7,
BF 3-4,BF3,212.1,0.1,,,212.1,0.1,
BF 3-5A,BF3,157.9,11.5,,,157.9,11.5,
BF 3-6,BF3,75.0,4.6,,,75.0,4.6,
BF 3-7A,BF3,89.2,17.6,180.5,1.9,134.8,9.7,
BF 3-8,BF3,240.5,0.2,164.7,14.6,202.6,7.4,
BF 3-9A,BF3,147.5,7.8,,,147.5,7.8,
BF 4-2,BF4,132.4,20.7,,,132.4,20.7,
BF 4-3A,BF4,652.1,35.8,540.0,38.7,596.0,37.2,
BF 4-4,BF4,644.0,20.1,,,644.0,20.1,
BF 4-5A,BF4,565.9,34.3,794.6,30.6,680.2,32.5,
BF 4-6,BF4,756.3,59.4,,,756.3,59.4,
BF 4-7A,BF4,408.3,13.9,493.7,7.7,451.0,10.8,
BF 4-8,BF4,,,114.9,54.0,114.9,54.0,
BF 4-9A,BF4,249.3,55.6,389.6,49.5,319.4,52.5,
BF 4-10,BF4,299.8,59.9,320.1,57.4,310.0,58.6,
BF 1-1A,BF1,21.7,20.2,43.2,12.7,32.4,16.4,
BF 1-3A,BF1,79.2,36.9,177.4,22.3,128.3,29.6,
BF 1-4,BF1,149.9,35.4,77.9,4.4,113.9,19.9,
BF 1-5A,BF1,,,87.2,11.9,87.2,11.9,
BF 1-6,BF1,87.0,15.2,155.1,3.1,121.0,9.2,
